"last_name, first_name","resp_fielder_id","year","outs_above_average","outs_per_play","rel_league_burst_distance","rel_league_reaction_distance","rel_league_routing_distance","rel_league_bootup_distance","f_bootup_distance","n","n_outs"
"Pérez, Wenceel","672761","2024","4","61.7","0.3","0.5","0.2","0.9","35.4","47","29"
"Rafaela, Ceddanne","678882","2024","5","62.2","1.8","2.5","-1","3.3","37.5","37","23"
"Ramos, Heliot","671218","2024","-5","37.3","-0.8","0","-0.6","-1.5","32.4","59","22"
"Refsnyder, Rob","608701","2024","-1","43.2","-0.3","1.7","-1.2","0.2","33.9","37","16"
"Renfroe, Hunter","592669","2024","-7","31.1","-0.9","0.5","-0.1","-0.5","32.9","61","19"
"Reynolds, Bryan","668804","2024","-11","23.3","-0.5","-1.2","0.3","-1.4","32.4","60","14"
"Robert Jr., Luis","673357","2024","-1","46.3","-0.7","-0.5","0.2","-1","33.5","54","25"
"Rodríguez, Julio","677594","2024","6","61.1","1.5","-0.5","0.3","1.3","35.9","72","44"
"Rojas, Johan","679032","2024","8","63.6","1.9","0.9","-0.2","2.6","37","55","35"
"Rosario, Eddie","592696","2024","-5","40","-0.1","0.5","-0.1","0.3","33.8","35","14"
"Santander, Anthony","623993","2024","-4","48.4","-1","-0.9","0.7","-1.3","32.2","62","30"
"Schneider, Davis","676914","2024","1","52.3","0.1","0.4","0.1","0.5","33.3","44","23"
"Siani, Michael","672279","2024","13","75.4","1.9","1.8","-0.6","3.1","37.3","57","43"
"Siri, Jose","642350","2024","15","76.1","2.3","1.4","-0.3","3.3","38.2","71","54"
"Soto, Juan","665742","2024","-6","34.3","0.3","1.2","-0.4","1.1","34.3","70","24"
"Springer, George","543807","2024","-2","49.1","-1.2","0","0","-1.2","32.4","53","26"
"Steer, Spencer","668715","2024","-2","38.9","-0.9","-0.1","0.4","-0.7","32.8","36","14"
"Suwinski, Jack","669261","2024","-7","34.7","-0.5","-0.8","-0.2","-1.5","32.3","49","17"
"Suzuki, Seiya","673548","2024","-1","47.2","1.3","1.2","-0.5","1.9","36","36","17"
"Sánchez, Jesús","660821","2024","0","54","0.3","1","0.1","1.5","35.1","50","27"
"Tatis Jr., Fernando","665487","2024","-3","38.5","1.5","0.1","0","1.5","35.3","39","15"
"Taveras, Leody","665750","2024","5","54.5","1.1","1.5","-1","1.6","36.3","77","42"
"Taylor, Michael A.","572191","2024","8","71.4","1.9","0.1","0.4","2.3","37.1","42","30"
"Taylor, Tyrone","621438","2024","5","64.3","1.6","0.2","-0.1","1.6","36","56","36"
"Thomas, Lane","657041","2024","-6","31.8","-0.4","0","0","-0.4","33.5","66","21"
"Varsho, Daulton","662139","2024","11","63.6","2.1","1.5","0","3.6","37.8","77","49"
"Verdugo, Alex","657077","2024","1","52.4","0.1","0.8","-0.5","0.5","33.6","82","43"
"Vierling, Matt","663837","2024","1","62.2","0.4","-0.8","0.5","0.1","34.4","37","23"
"Ward, Taylor","621493","2024","1","47.8","0.7","0.8","0.4","1.8","35.7","69","33"
"Winker, Jesse","608385","2024","-10","28.6","-2.3","-1.3","0.2","-3.5","30.1","42","12"
"Yastrzemski, Mike","573262","2024","-2","46.8","1","-0.4","0.3","1","34.8","62","29"
"Young, Jacob","696285","2024","17","74","1.8","4.6","-2.6","3.9","38.7","77","57"
